product_name,category,sub_category,sales,profit,quantity,rows,orders,avg_discount,profit_margin
"Eldon Lockers, Industrial",Office Supplies,Storage,17827,6485.4615,109,30,30,0.15133333333333335,0.3637999382958434
"Samsung Smart Phone, with Caller ID",Technology,Phones,26311,6392.614,50,15,15,0.06133333333333334,0.24296355136634865
"HP Copy Machine, Color",Technology,Copiers,22299,6099.5014599999995,110,37,37,0.12318918918918918,0.2735325108749271
"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs,58200,5997.2541,169,49,49,0.16551020408163264,0.1030456030927835
"Hamilton Beach Stove, Silver",Office Supplies,Appliances,28656,5989.749,66,15,15,0.16666666666666666,0.20902250837520936
"Apple Smart Phone, Full Size",Technology,Phones,86936,5921.578600000001,171,51,51,0.10666666666666667,0.0681142288580105
"HP Fax Machine, Laser",Technology,Copiers,18179,5901.08424,70,18,18,0.07100000000000001,0.3246099477419
"Hewlett Wireless Fax, Digital",Technology,Copiers,22046,5883.1932,66,18,18,0.07100000000000001,0.26685989295110224
"Bush Classic Bookcase, Metal",Furniture,Bookcases,23540,5871.783,72,23,23,0.17260869565217393,0.24943853016142736
"KitchenAid Stove, Silver",Office Supplies,Appliances,21966,5725.209,46,12,12,0.10333333333333333,0.2606395793499044
"Brother Fax Machine, Laser",Technology,Copiers,20548,5651.47652,75,20,20,0.0879,0.2750377905392252
"Nokia Smart Phone, Cordless",Technology,Phones,25657,5639.89,46,12,12,0.10416666666666667,0.21981876291070665
"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,40586,5562.3536,124,39,39,0.1458974358974359,0.1370510422313113
"Apple Smart Phone, Cordless",Technology,Phones,27164,5450.217,52,20,20,0.136,0.2006411795022824
"Safco Classic Bookcase, Metal",Furniture,Bookcases,25275,5416.1536,75,20,20,0.1535,0.21428896538081108
"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,22756,5367.1725,62,21,21,0.07952380952380952,0.23585746616277026
"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,21805,5348.081,65,16,16,0.05625,0.24526856225636323
"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs,23518,5252.4412,68,21,21,0.13904761904761903,0.22333706947869716
"Brother Fax Machine, Digital",Technology,Copiers,17009,5197.36856,66,20,20,0.0742,0.3055657922276442
"Hon Swivel Stool, Black",Furniture,Chairs,19531,5186.1696,158,39,39,0.1394871794871795,0.2655352823716144
"Hewlett Wireless Fax, Color",Technology,Copiers,23267,5054.20574,74,22,22,0.14309090909090907,0.2172263609403877
"Memorex Router, Bluetooth",Technology,Accessories,17318,4923.2414,96,22,22,0.11227272727272729,0.2842846402586904
"KitchenAid Refrigerator, Silver",Office Supplies,Appliances,17762,4858.014,46,13,13,0.0923076923076923,0.2735060240963855
"Sharp Wireless Fax, Laser",Technology,Copiers,17236,4815.44096,63,16,16,0.13,0.2793827430958459
"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,50667,4710.984,141,45,45,0.14377777777777778,0.09297933566226539
"Office Star Executive Leather Armchair, Red",Furniture,Chairs,25213,4677.078,68,17,17,0.10882352941176471,0.18550263752825924
Canon PC1060 Personal Laser Copier,Technology,Copiers,11620,4570.9347,19,4,4,0.15000000000000002,0.3933678743545611
"Dania Classic Bookcase, Traditional",Furniture,Bookcases,15049,4543.898,56,16,16,0.2,0.3019401953618181
"Smead Lockers, Single Width",Office Supplies,Storage,16713,4540.6305,116,43,43,0.26069767441860464,0.2716825525040388
"Fellowes Lockers, Blue",Office Supplies,Storage,20565,4529.6405,122,34,34,0.17205882352941176,0.2202596887916363
"Konica Inkjet, White",Technology,Machines,17329,4457.721399999999,62,18,18,0.07333333333333333,0.2572405447515725
"Rogers Lockers, Industrial",Office Supplies,Storage,18298,4411.335,104,32,32,0.1078125,0.24108290523554488
"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,20059,4388.6574,58,19,19,0.1268421052631579,0.2187874470312578
"Fellowes Lockers, Wire Frame",Office Supplies,Storage,16470,4342.022,109,39,39,0.1535897435897436,0.2636321797207043
"SanDisk Router, Bluetooth",Technology,Accessories,14011,4326.8785,81,22,22,0.20545454545454545,0.3088201056312897
"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,15639,4272.8983,133,40,40,0.1305,0.2732206854658226
"Sauder Classic Bookcase, Pine",Furniture,Bookcases,24078,4267.767,73,22,22,0.1159090909090909,0.1772475703962123
"Eldon File Cart, Single Width",Office Supplies,Storage,34392,4238.8887,321,90,90,0.098,0.1232521720167481
"Brother Fax Machine, High-Speed",Technology,Copiers,22430,4160.9268,84,20,20,0.0267,0.18550721355327687
"Brother Fax Machine, Color",Technology,Copiers,16479,4148.356760000001,64,19,19,0.124,0.25173595242429764
"Cuisinart Stove, Red",Office Supplies,Appliances,16365,4101.456,40,11,11,0.23545454545454544,0.2506236480293309
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18375,4094.9766,12,3,3,0.16666666666666666,0.2228558693877551
"Sauder Classic Bookcase, Metal",Furniture,Bookcases,23195,4043.45,69,15,15,0.13333333333333333,0.1743242078034059
"Cisco Smart Phone, Cordless",Technology,Phones,41021,4020.8239999999996,89,27,27,0.25,0.09801867336242412
"Brother Wireless Fax, Laser",Technology,Copiers,23904,4000.6438599999997,86,25,25,0.1744,0.16736294595046852
"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,10575,3984.6166,66,19,19,0.17210526315789473,0.3767958959810875
"Tenex File Cart, Single Width",Office Supplies,Storage,22111,3952.6122,207,70,70,0.13871428571428573,0.1787622540816788
"Motorola Smart Phone, with Caller ID",Technology,Phones,30244,3943.809,53,13,13,0.09230769230769233,0.13039971564607858
"Samsung Smart Phone, VoIP",Technology,Phones,45406,3903.8579999999993,97,23,23,0.1217391304347826,0.08597669911465443
"HP Wireless Fax, Digital",Technology,Copiers,15176,3894.9049,51,14,14,0.122,0.2566489786505008
"Sharp Wireless Fax, Color",Technology,Copiers,21430,3882.93096,69,21,21,0.11552380952380953,0.18119136537564162
"Novimex Executive Leather Armchair, Black",Furniture,Chairs,28631,3868.7475000000004,80,25,25,0.1164,0.13512442806747932
"Sauder Library with Doors, Metal",Furniture,Bookcases,15173,3806.8674,51,18,18,0.10388888888888889,0.2508974757793449
"Sharp Fax and Copier, Digital",Technology,Copiers,9647,3783.94296,66,19,19,0.026947368421052633,0.39224038146574064
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7700,3772.9461,11,2,2,0.0,0.489993
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14300,3717.9714000000004,11,2,2,0.0,0.259998
"Sharp Fax Machine, High-Speed",Technology,Copiers,18016,3713.1022,72,23,23,0.09695652173913043,0.2061002553285968
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,9368,3696.2819999999997,24,7,7,0.05714285714285715,0.39456468830059777
"Bush Classic Bookcase, Mobile",Furniture,Bookcases,19020,3672.576,55,19,19,0.12842105263157894,0.19309022082018928
"Hewlett Fax Machine, Laser",Technology,Copiers,14149,3664.0858399999997,58,18,18,0.1471111111111111,0.25896429712347163
"Smead Lockers, Industrial",Office Supplies,Storage,28996,3630.444,187,41,41,0.12121951219512195,0.1252049937922472
"Hamilton Beach Stove, Red",Office Supplies,Appliances,11515,3552.216,26,11,11,0.1409090909090909,0.3084859748154581
"KitchenAid Refrigerator, Black",Office Supplies,Appliances,21871,3443.1639,52,10,10,0.134,0.1574305655891363
"Safco Library with Doors, Pine",Furniture,Bookcases,27262,3360.8318,89,25,25,0.1472,0.12327898906903381
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15876,3345.2823,13,3,3,0.3333333333333333,0.2107131708238851
Zebra ZM400 Thermal Label Printer,Technology,Machines,6966,3343.536,6,2,2,0.0,0.4799793281653747
"Fellowes Lockers, Industrial",Office Supplies,Storage,22638,3339.036,142,46,46,0.12913043478260872,0.14749695202756427
"Okidata Inkjet, Wireless",Technology,Machines,23003,3314.9512,88,26,26,0.1469230769230769,0.14410951615006737
"Canon Fax and Copier, Laser",Technology,Copiers,10619,3299.73952,65,17,17,0.11635294117647059,0.310739195781147
"Apple Speaker Phone, VoIP",Technology,Phones,10686,3268.3905,101,25,25,0.10400000000000001,0.30585724312184165
"Dania Library with Doors, Traditional",Furniture,Bookcases,21492,3263.712,76,24,24,0.11833333333333333,0.151857063093244
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,11304,3247.02,40,8,8,0.05,0.2872452229299363
"SanDisk Router, USB",Technology,Accessories,11036,3244.5356,56,19,19,0.12473684210526316,0.29399561435302646
"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,32230,3240.1492,100,24,24,0.20791666666666667,0.10053208811666149
"Apple Smart Phone, with Caller ID",Technology,Phones,16754,3196.6229999999996,38,9,9,0.18333333333333332,0.19079760057299747
"Memorex Router, Programmable",Technology,Accessories,9474,3189.6375000000003,43,13,13,0.06538461538461539,0.3366727359088031
Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,8900,3124.9375,21,7,7,0.14285714285714285,0.35111657303370786
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,10824,3085.0325,35,10,10,0.08,0.2850177845528455
"Fellowes File Cart, Blue",Office Supplies,Storage,11350,3073.74,104,32,32,0.140625,0.27081409691629954
"Canon Wireless Fax, Digital",Technology,Copiers,16018,3068.5898,49,15,15,0.04506666666666667,0.1915713447371707
"Breville Refrigerator, Silver",Office Supplies,Appliances,11285,3062.916,26,9,9,0.14444444444444443,0.27141479840496235
"Hoover Refrigerator, Red",Office Supplies,Appliances,11762,3055.561,29,8,8,0.10875,0.25978243496004083
"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances,14974,3016.5328000000004,39,11,11,0.12454545454545456,0.2014513690396688
"Breville Refrigerator, White",Office Supplies,Appliances,17673,3011.1254,41,11,11,0.1427272727272727,0.17037998076161376
"Chromcraft Computer Table, Adjustable Height",Furniture,Tables,7582,3009.1070000000004,22,7,7,0.20714285714285713,0.3968750989184912
"SanDisk Router, Erganomic",Technology,Accessories,9977,3001.626,41,18,18,0.05277777777777778,0.30085456550065154
"Sharp Copy Machine, Laser",Technology,Copiers,14447,2998.52992,77,26,26,0.11684615384615384,0.2075538118640548
"Brother Wireless Fax, Digital",Technology,Copiers,17151,2984.0247,54,19,19,0.06368421052631579,0.1739854644044079
"Logitech Router, USB",Technology,Accessories,12961,2906.3557,67,20,20,0.0785,0.2242385386930021
"Epson Inkjet, Durable",Technology,Machines,9599,2850.759,34,10,10,0.06999999999999999,0.2969849984373372
"Bush Classic Bookcase, Traditional",Furniture,Bookcases,26531,2821.614,79,22,22,0.09090909090909091,0.10635158870754965
"Breville Microwave, White",Office Supplies,Appliances,13600,2809.0275,57,14,14,0.125,0.20654613970588237
"Cardinal Binding Machine, Clear",Office Supplies,Binders,7573,2804.8257,171,49,49,0.052244897959183675,0.37037180773801665
Canon Imageclass D680 Copier / Fax,Technology,Copiers,8960,2799.96,16,5,5,0.2,0.31249553571428573
"KitchenAid Microwave, White",Office Supplies,Appliances,11247,2784.6216,39,10,10,0.08700000000000001,0.24758794345158708
"Brother Ink, Color",Technology,Copiers,11131,2752.09404,92,21,21,0.10866666666666666,0.2472458934507232
"Sharp Fax and Copier, Laser",Technology,Copiers,7824,2720.872,55,16,16,0.08850000000000001,0.3477597137014315
"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,7948,2703.631,86,23,23,0.12347826086956522,0.34016494715651735
"Canon Ink, Laser",Technology,Copiers,6458,2668.2264,48,15,15,0.10013333333333334,0.41316605760297304
"Bush Library with Doors, Mobile",Furniture,Bookcases,16642,2660.9880000000003,60,24,24,0.1875,0.15989592597043625
"Novimex Swivel Stool, Red",Furniture,Chairs,12153,2660.734,100,21,21,0.12571428571428572,0.21893639430593267
"Dania Classic Bookcase, Metal",Furniture,Bookcases,17611,2654.862,51,15,15,0.15333333333333332,0.15075021293509738
"Breville Refrigerator, Black",Office Supplies,Appliances,11059,2638.3640000000005,28,9,9,0.22666666666666668,0.23857166109051456
"Harbour Creations Swivel Stool, Set of Two",Furniture,Chairs,13356,2632.3630000000003,92,29,29,0.14482758620689656,0.19709216831386644
"Tenex Lockers, Wire Frame",Office Supplies,Storage,19641,2632.1504,128,36,36,0.17333333333333334,0.1340130543251362
"Hoover Microwave, Silver",Office Supplies,Appliances,7377,2630.4602,29,12,12,0.21166666666666667,0.3565758709502508
"Hoover Microwave, White",Office Supplies,Appliances,14675,2620.5,58,17,17,0.12941176470588234,0.17856899488926747
"Canon Wireless Fax, Color",Technology,Copiers,26585,2615.2344,97,21,21,0.1722857142857143,0.09837255595260484
"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,9708,2603.76,60,20,20,0.11000000000000001,0.2682076637824475
"HP Copy Machine, Laser",Technology,Copiers,14616,2562.89756,74,25,25,0.1276,0.17534876573617952
"Canon Fax and Copier, Digital",Technology,Copiers,10274,2554.19256,65,20,20,0.09809999999999999,0.24860741288689897
"Cuisinart Stove, Silver",Office Supplies,Appliances,16099,2550.998,41,12,12,0.10833333333333334,0.15845692279023543
"Sharp Fax and Copier, Color",Technology,Copiers,9739,2548.77792,70,22,22,0.09227272727272728,0.261708380737242
"Motorola Signal Booster, Cordless",Technology,Phones,10152,2527.8926,98,24,24,0.21833333333333335,0.24900439322301027
"HP Fax and Copier, Digital",Technology,Copiers,8430,2524.26058,60,14,14,0.12,0.29943779122182684
"Konica Inkjet, Wireless",Technology,Machines,19909,2522.836,76,22,22,0.15,0.12671836857702545
"Cisco Audio Dock, VoIP",Technology,Phones,8914,2519.016,58,17,17,0.11764705882352941,0.2825909804801436
Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,8070,2518.0551,27,6,6,0.23333333333333336,0.31202665427509296
"Breville Stove, Red",Office Supplies,Appliances,13141,2515.416,28,11,11,0.018181818181818184,0.19141739593638232
"Sharp Wireless Fax, Digital",Technology,Copiers,20746,2505.11784,76,22,22,0.1380909090909091,0.12075184806709727
"Safco Stackable Bookrack, Pine",Furniture,Bookcases,15581,2495.941,135,34,34,0.13823529411764707,0.16019132276490597
"Cisco Audio Dock, with Caller ID",Technology,Phones,9608,2488.8015,64,19,19,0.10789473684210525,0.25903429433805164
"Bush Stackable Bookrack, Pine",Furniture,Bookcases,15632,2480.208,165,44,44,0.17386363636363636,0.15866223132036847
"SAFCO Swivel Stool, Set of Two",Furniture,Chairs,12395,2465.355,87,22,22,0.07500000000000001,0.19889915288422752
"Dania Stackable Bookrack, Traditional",Furniture,Bookcases,7829,2436.3775,80,24,24,0.16458333333333333,0.31119906756929366
"Breville Stove, Black",Office Supplies,Appliances,9724,2419.26,20,7,7,0.0,0.248792677910325
"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances,17250,2418.4408,40,12,12,0.08916666666666666,0.14019946666666666
"Konica Printer, White",Technology,Machines,8416,2414.4975,35,12,12,0.085,0.28689371435361216
"Hamilton Beach Refrigerator, White",Office Supplies,Appliances,13585,2404.552,37,10,10,0.137,0.1770005152741995
"Rogers File Cart, Single Width",Office Supplies,Storage,29467,2394.8953,262,84,84,0.1935714285714286,0.08127380798859742
"Hewlett Fax Machine, Digital",Technology,Copiers,7180,2377.0776,26,10,10,0.172,0.33106930362116993
"Hewlett Fax Machine, Color",Technology,Copiers,12678,2358.45864,46,18,18,0.11699999999999999,0.1860276573592049
"StarTech Inkjet, White",Technology,Machines,7369,2355.288,30,10,10,0.175,0.3196211154837834
"Motorola Audio Dock, with Caller ID",Technology,Phones,7662,2336.6545,57,18,18,0.11666666666666667,0.30496665361524405
"Bush Corner Shelving, Pine",Furniture,Bookcases,6777,2330.5126,71,22,22,0.14409090909090908,0.3438855835915597
"Samsung Audio Dock, Cordless",Technology,Phones,12465,2327.7784,89,28,28,0.12464285714285715,0.1867451584436422
"Logitech Router, Programmable",Technology,Accessories,7697,2324.8132,37,15,15,0.10800000000000001,0.30204147070287124
Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,7986,2318.337,28,8,8,0.16249999999999998,0.2903001502629602
"Dania Floating Shelf Set, Metal",Furniture,Bookcases,9774,2310.4509,68,19,19,0.0668421052631579,0.23638744628606506
"Hon Rocking Chair, Black",Furniture,Chairs,10510,2308.3281,116,30,30,0.17733333333333334,0.21963159847764036
"Sharp Personal Copier, Digital",Technology,Copiers,9206,2293.1032,92,21,21,0.09076190476190477,0.2490878991961764
"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,11848,2272.0692,73,16,16,0.073125,0.191768163403106
"Brother Copy Machine, High-Speed",Technology,Copiers,10603,2271.94096,54,15,15,0.1012,0.21427340941243045
"Smead File Cart, Industrial",Office Supplies,Storage,13667,2259.16,128,34,34,0.15882352941176472,0.16530035852784078
Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,5610,2243.9320000000002,17,4,4,0.0,0.39998787878787884
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19824,2233.5051000000003,37,11,11,0.3,0.11266672215496369
"Cuisinart Stove, Black",Office Supplies,Appliances,12430,2215.2264,32,8,8,0.03375,0.17821612228479486
"Deflect-O Frame, Durable",Furniture,Furnishings,6742,2203.17,77,23,23,0.16956521739130434,0.3267828537525957
"Ikea Stackable Bookrack, Pine",Furniture,Bookcases,6186,2182.8269999999998,55,16,16,0.096875,0.3528656644034917
"Hamilton Beach Microwave, Red",Office Supplies,Appliances,8325,2158.428,37,8,8,0.15,0.2592706306306306
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,5120,2155.8922000000002,26,7,7,0.028571428571428574,0.4210726953125
"Breville Refrigerator, Red",Office Supplies,Appliances,18449,2153.3838,44,12,12,0.06416666666666666,0.11672089544148735
"Cuisinart Refrigerator, Black",Office Supplies,Appliances,14222,2151.797,39,9,9,0.2,0.15130059063422865
"Safco 3-Shelf Cabinet, Metal",Furniture,Bookcases,8166,2140.29,60,19,19,0.13789473684210526,0.2620977222630419
"Logitech Router, Erganomic",Technology,Accessories,10426,2136.516,50,16,16,0.0625,0.2049219259543449
"Boston Sketch Pad, Blue",Office Supplies,Art,6035,2136.136,143,42,42,0.09928571428571428,0.35395791217895606
"Okidata Card Printer, White",Technology,Machines,8504,2118.846,63,16,16,0.159375,0.2491587488240828
"Sauder 3-Shelf Cabinet, Mobile",Furniture,Bookcases,10836,2118.744,90,23,23,0.1552173913043478,0.19552823920265783
"Sharp Wireless Fax, High-Speed",Technology,Copiers,16026,2109.34296,51,12,12,0.09783333333333333,0.1316200524148259
"Hewlett Copy Machine, Color",Technology,Copiers,29708,2103.4431999999997,152,45,45,0.2086222222222222,0.07080393160091557
"Epson Card Printer, Durable",Technology,Machines,10303,2101.302,69,18,18,0.14166666666666666,0.20395049985441135
"Hewlett Fax and Copier, High-Speed",Technology,Copiers,8949,2096.83784,58,18,18,0.10988888888888888,0.23430973740082692
"Samsung Signal Booster, Cordless",Technology,Phones,8524,2096.1875999999997,79,28,28,0.15964285714285714,0.24591595495072732
Canon PC940 Copier,Technology,Copiers,5670,2092.4535,15,3,3,0.20000000000000004,0.36903941798941803
"HP Wireless Fax, High-Speed",Technology,Copiers,12298,2091.39756,45,13,13,0.09446153846153846,0.17005997397950887
"Cisco Signal Booster, VoIP",Technology,Phones,13917,2082.292,110,27,27,0.11296296296296296,0.14962218869009125
"Cisco Headset, with Caller ID",Technology,Phones,6278,2079.0816,81,25,25,0.08839999999999999,0.3311694170117872
"Safco Classic Bookcase, Traditional",Furniture,Bookcases,26227,2073.48,80,25,25,0.16,0.0790589850154421
Sharp AL-1530CS Digital Copier,Technology,Copiers,6400,2064.9587,17,4,4,0.25,0.322649796875
"Samsung Signal Booster, Full Size",Technology,Phones,8556,2060.2044,75,24,24,0.16833333333333333,0.240790603085554
"SAFCO Swivel Stool, Adjustable",Furniture,Chairs,7872,2057.9836,57,22,22,0.07590909090909091,0.261430843495935
"HP Personal Copier, Laser",Technology,Copiers,6336,2045.83568,65,22,22,0.06445454545454544,0.3228907323232323
"Rogers Trays, Wire Frame",Office Supplies,Storage,6260,2016.7675,127,34,34,0.1285294117647059,0.3221673322683706
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,8137,2016.711,49,13,13,0.07692307692307693,0.24784453729875877
"Canon Fax Machine, High-Speed",Technology,Copiers,22339,2011.58994,82,22,22,0.06963636363636364,0.09004834325618873
"Apple Office Telephone, Cordless",Technology,Phones,5058,2007.417,94,27,27,0.15555555555555556,0.39687959667852907
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,3992,1995.99,2,1,1,0.0,0.49999749498998
"Epson Printer, Durable",Technology,Machines,10422,1979.8400000000001,46,14,14,0.1464285714285714,0.18996737670312802
Canon PC1080F Personal Copier,Technology,Copiers,6000,1973.9670999999998,11,4,4,0.05,0.3289945166666666
"Samsung Smart Phone, Full Size",Technology,Phones,20992,1971.5240000000001,43,13,13,0.15692307692307692,0.09391787347560976
"Hoover Stove, Black",Office Supplies,Appliances,15892,1964.388,35,13,13,0.09769230769230769,0.12360860810470677
"Belkin Memory Card, Programmable",Technology,Accessories,8751,1957.429,93,24,24,0.12916666666666668,0.22368060793052225
"Fellowes Shelving, Wire Frame",Office Supplies,Storage,5674,1953.4754,131,35,35,0.13257142857142856,0.3442854071201974
"Belkin Router, Erganomic",Technology,Accessories,19889,1944.9712,99,23,23,0.12347826086956522,0.09779130172457137
"Dania Stackable Bookrack, Pine",Furniture,Bookcases,12628,1939.784,126,32,32,0.125625,0.15360975609756097
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,7731,1932.549,45,12,11,0.06666666666666667,0.24997400077609624
"KitchenAid Microwave, Black",Office Supplies,Appliances,8624,1929.3474999999999,33,9,9,0.07444444444444445,0.22371840213358068
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,10638,1927.442,51,12,12,0.14166666666666666,0.18118462116939274
"Samsung Audio Dock, Full Size",Technology,Phones,9728,1927.3956,67,23,23,0.1265217391304348,0.1981286595394737
"Dania Corner Shelving, Metal",Furniture,Bookcases,7418,1923.621,85,22,22,0.2409090909090909,0.2593180102453492
"Hon Training Table, Adjustable Height",Furniture,Tables,5726,1911.789,19,5,5,0.19,0.3338786238211666
"Canon Personal Copier, Laser",Technology,Copiers,6267,1908.1408,50,15,15,0.08053333333333335,0.3044743577469283
"Office Star Executive Leather Armchair, Black",Furniture,Chairs,29422,1898.2522999999999,89,22,22,0.15545454545454546,0.06451812589218951
"Office Star Steel Folding Chair, Adjustable",Furniture,Chairs,6993,1895.978,102,21,20,0.16238095238095238,0.27112512512512515
"Hoover Refrigerator, Silver",Office Supplies,Appliances,7800,1886.4279999999999,19,8,8,0.125,0.24184974358974357
"KitchenAid Microwave, Red",Office Supplies,Appliances,12713,1879.136,47,15,15,0.020000000000000004,0.14781216078030363
"Canon Fax Machine, Laser",Technology,Copiers,10928,1869.9602799999998,42,14,14,0.1504285714285714,0.17111642386530013
"Enermax Router, USB",Technology,Accessories,10234,1866.3432,47,14,14,0.08142857142857142,0.1823669337502443
"Belkin Router, Programmable",Technology,Accessories,6902,1853.8025,33,11,11,0.09545454545454546,0.2685891770501304
"Sanford Pencil Sharpener, Easy-Erase",Office Supplies,Art,4393,1837.895,193,49,49,0.1377551020408163,0.4183689961302071
"Konica Card Printer, Red",Technology,Machines,9129,1836.7428,67,19,19,0.18263157894736842,0.20119868550772263
"Rogers Trays, Industrial",Office Supplies,Storage,6701,1831.3752,127,30,30,0.10633333333333334,0.27329879122519024
Samsung Galaxy Mega 6.3,Technology,Phones,13944,1822.7566,39,6,6,0.13333333333333333,0.13071977911646585
"Ibico Binding Machine, Durable",Office Supplies,Binders,6418,1821.978,148,49,49,0.11795918367346939,0.283885634153942
"Hewlett Fax Machine, High-Speed",Technology,Copiers,20986,1808.4868000000001,84,24,24,0.07266666666666667,0.08617586962737063
"BIC Canvas, Fluorescent",Office Supplies,Art,6536,1799.3844000000001,137,36,36,0.12527777777777777,0.27530361077111387
"Belkin Numeric Keypad, Bluetooth",Technology,Accessories,5125,1796.208,108,33,33,0.11212121212121212,0.3504796097560976
"KitchenAid Blender, Silver",Office Supplies,Appliances,5811,1791.543,73,17,17,0.0923529411764706,0.30830201342281877
"KitchenAid Stove, Black",Office Supplies,Appliances,19548,1782.1942,50,12,12,0.2091666666666667,0.09117015551463065
"HP Wireless Fax, Color",Technology,Copiers,13010,1759.3103999999998,47,15,15,0.1676,0.13522754803996925
"Barricks Training Table, Adjustable Height",Furniture,Tables,8701,1758.9735,30,5,5,0.17,0.20215762556028044
"Hewlett Wireless Fax, Laser",Technology,Copiers,21541,1757.62924,73,20,20,0.11579999999999999,0.08159459820806833
"Dania Library with Doors, Pine",Furniture,Bookcases,17709,1751.0225,69,20,20,0.1575,0.09887754813936417
"Sauder Floating Shelf Set, Traditional",Furniture,Bookcases,7529,1742.406,48,13,13,0.2076923076923077,0.23142595298180368
"Epson Phone, Wireless",Technology,Machines,4086,1739.9865,53,12,12,0.0625,0.42584104258443467
"Panasonic Printer, Wireless",Technology,Machines,9314,1726.0155,41,13,13,0.15000000000000002,0.18531409705819196
